Movie Name,Script File,Budget,Domestic Gross,Worldwide Gross
Autumn in New York,Autumn-in-New-York_Screenplay.txt,"$40,000,000","$37,752,931","$90,717,684"
Paul,Paul_Screenplay.txt,"$40,000,000","$37,412,945","$101,162,106"
Colombiana,Colombiana_Screenplay.txt,"$40,000,000","$36,665,854","$72,295,262"
8MM,8MM_Screenplay.txt,"$40,000,000","$36,443,442","$96,398,826"
Arthur,Arthur_Screenplay.txt,"$40,000,000","$33,035,397","$47,787,943"
At First Sight,At-First-Sight_Screenplay.txt,"$40,000,000","$22,365,133","$22,365,133"
Fantastic Mr. Fox,Fantastic-Mr-Fox_Screenplay.txt,"$40,000,000","$21,002,919","$46,187,511"
Get Carter,Get-Carter_Screenplay.txt,"$40,000,000","$14,967,182","$19,417,182"
Amelia,Amelia_Screenplay.txt,"$40,000,000","$14,279,575","$19,756,077"
Cirque du Freak: The Vampire's Assistant,Cirque-du-Freak-The-Vampire's-Assistant_Screenplay.txt,"$40,000,000","$14,046,595","$39,753,957"
New York Minute,New-York-Minute_Screenplay.txt,"$40,000,000","$14,018,364","$21,156,715"
Pandorum,Pandorum_Screenplay.txt,"$40,000,000","$10,330,853","$17,033,431"
Frankenweenie,Frankenweenie_Screenplay.txt,"$39,000,000","$35,287,788","$81,150,788"
Star Trek: Generations,Star-Trek-Generations_Screenplay.txt,"$38,000,000","$75,671,262","$120,000,000"
Water for Elephants,Water-for-Elephants_Screenplay.txt,"$38,000,000","$58,709,717","$116,809,717"
Enough,Enough_Screenplay.txt,"$38,000,000","$39,177,215","$50,970,660"
Rush,Rush_Screenplay.txt,"$38,000,000","$26,947,624","$98,159,204"
Angel Eyes,Angel-Eyes_Screenplay.txt,"$38,000,000","$24,044,532","$29,544,532"
White Squall,White-Squall_Screenplay.txt,"$38,000,000","$10,229,300","$10,229,300"
Burn After Reading,Burn-After-Reading_Screenplay.txt,"$37,000,000","$60,355,347","$168,167,798"
Magnolia,Magnolia_Screenplay.txt,"$37,000,000","$22,450,975","$48,446,802"
John Q.,John-Q_Screenplay.txt,"$36,000,000","$71,026,631","$102,226,631"
Hot Tub Time Machine,Hot-Tub-Time-Machine_Screenplay.txt,"$36,000,000","$50,269,859","$65,967,750"
Breakdown,Breakdown_Screenplay.txt,"$36,000,000","$50,159,144","$50,159,144"
Reindeer Games,Reindeer-Games_Screenplay.txt,"$36,000,000","$23,360,779","$23,360,779"
Snow Falling on Cedars,Snow-Falling-On-Cedars_Screenplay.txt,"$36,000,000","$14,378,353","$14,378,353"
Gattaca,Gattaca_Screenplay.txt,"$36,000,000","$12,532,777","$12,532,777"
It,It_Screenplay.txt,"$35,000,000","$328,828,874","$701,012,746"
Batman,Batman_Screenplay.txt,"$35,000,000","$251,188,924","$411,348,924"
Austin Powers: The Spy Who Shagged Me,Austin-Powers---The-Spy-Who-Shagged-Me_Screenplay.txt,"$35,000,000","$206,040,085","$312,383,487"
True Grit,True-Grit_Screenplay.txt,"$35,000,000","$171,243,005","$252,276,928"
Rush Hour,Rush-Hour_Screenplay.txt,"$35,000,000","$141,186,864","$245,300,000"
Horrible Bosses,Horrible-Bosses_Screenplay.txt,"$35,000,000","$117,538,559","$212,417,601"
Saving Mr. Banks,Saving-Mr.-Banks_Screenplay.txt,"$35,000,000","$83,299,761","$114,962,525"
Star Trek: The Motion Picture,Star-Trek-The-Motion-Picture_Screenplay.txt,"$35,000,000","$82,258,456","$139,000,000"
This is 40,This-is-40_Screenplay.txt,"$35,000,000","$67,544,505","$90,221,182"
L.A. Confidential,L.A.-Confidential_Screenplay.txt,"$35,000,000","$64,604,977","$126,204,977"
TMNT,TMNT_Screenplay.txt,"$35,000,000","$54,149,098","$96,096,018"
Malcolm X,Malcolm-X_Screenplay.txt,"$35,000,000","$48,169,910","$48,169,910"
Donnie Brasco,Donnie-Brasco_Screenplay.txt,"$35,000,000","$41,954,997","$65,303,052"
Max Payne,Max-Payne_Screenplay.txt,"$35,000,000","$40,689,393","$87,775,050"
Resident Evil,Resident-Evil_Screenplay.txt,"$35,000,000","$40,119,709","$103,787,401"
Mirrors,Mirrors_Screenplay.txt,"$35,000,000","$30,691,439","$77,220,596"
Queen of the Damned,Queen-of-the-Damned_Screenplay.txt,"$35,000,000","$30,307,804","$30,307,804"
Flash Gordon,Flash-Gordon_Screenplay.txt,"$35,000,000","$27,107,960","$27,176,825"
Wonder Boys,Wonder-Boys_Screenplay.txt,"$35,000,000","$19,389,454","$33,422,485"
American Outlaws,American-Outlaws_Screenplay.txt,"$35,000,000","$13,264,986","$13,601,109"
Whiteout,Whiteout_Screenplay.txt,"$35,000,000","$10,275,638","$12,254,746"
A Few Good Men,A-Few-Good-Men_Screenplay.txt,"$33,000,000","$141,340,178","$236,500,000"
Bridesmaids,Bridesmaids_Screenplay.txt,"$32,500,000","$169,211,718","$289,632,023"
Source Code,Source-Code_Screenplay.txt,"$32,000,000","$54,712,227","$140,428,499"
Bringing Out The Dead,Bringing-Out-the-Dead_Screenplay.txt,"$32,000,000","$16,640,210","$16,640,210"
Apocalypse Now,Apocalypse-Now_Screenplay.txt,"$31,500,000","$83,535,860","$85,959,710"
42,42_Screenplay.txt,"$31,000,000","$95,020,213","$97,470,701"
Flight,Flight_Screenplay.txt,"$31,000,000","$93,772,375","$160,558,438"
